City,Type of Area,NH3_2007
Hyderabad,Industrial,52
Hyderabad,Residential and other,67.5
Delhi,Industrial,67
Delhi,Residential and other,66
Mumbai,Industrial,61
Mumbai,Residential and other,52
Nagpur,Industrial,30
Nagpur,Residential and other,33
Chennai,Industrial,28
Chennai,Residential and other,21
Kolkata,Industrial,13
Kolkata,Residential and other,15
