City,Type of Area,NH3_2010
Hyderabad,Industrial,51
Hyderabad,Residential and other,61.5
Delhi,Industrial,84
Delhi,Residential and other,83
Mumbai,Industrial,54
Mumbai,Residential and other,47.5
Nagpur,Industrial,28
Nagpur,Residential and other,33
Chennai,Industrial,70
Chennai,Residential and other,62
Kolkata,Industrial,8
Kolkata,Residential and other,7.5
