City,Type of Area,NH3_2006
Hyderabad,Industrial,46
Hyderabad,Residential and other,87
Delhi,Industrial,74
Delhi,Residential and other,78
Mumbai,Industrial,62
Mumbai,Residential and other,64.5
Nagpur,Industrial,26
Nagpur,Residential and other,18
Chennai,Industrial,35
Chennai,Residential and other,33
Kolkata,Industrial,24
Kolkata,Residential and other,20.5
