City,Type of Area,NH3_2008
Hyderabad,Industrial,38
Hyderabad,Residential and other,53
Delhi,Industrial,76
Delhi,Residential and other,75
Mumbai,Industrial,53
Mumbai,Residential and other,44.5
Nagpur,Industrial,36
Nagpur,Residential and other,31.5
Chennai,Industrial,24
Chennai,Residential and other,14
Kolkata,Industrial,7
Kolkata,Residential and other,7.5
